Table 210-06503 : Underemployed persons and underemployment rate by detailed industry of main employment,,,,,
 ,,,,,
 , , ,Underemployed persons (1),Underemployed persons (1),Underemployment rate (2)
,,,No. ('000),Percentage share (%),(%)
Year / Moving 3-month period,,Detailed industry of main employment (3) (4),,,
2014,,          Real estate,0.6,1.1,0.4
2014,,          Professional and business services,3.5,6.1,1.0
2014,,               Professional and business services (excl. cleaning and similar activities),2.3,4.1,0.8
2014,,               Cleaning and similar activities,1.1,2.0,1.6
2014,,"Public administration, social and personal services",10.2,17.9,1.0
2014,,     Public administration,[*7],[*7],[*7]
2014,,     Education,3.3,5.8,1.6
2014,,     Human health and social work activities,0.9,1.6,0.5
2014,,          Human health activities,0.4,0.7,0.4
2014,,          Social work activities,0.5,0.8,0.7
2014,,"     Arts, entertainment and recreation",1.7,2.9,2.9
2014,,     Other service activities,4.1,7.2,1.0
2014,,Other industries,[*7],[*7],[*7]
2014,,Overall,56.8,100.0,1.5
2015,,Manufacturing,1.0,1.9,0.9
2015,,Construction,21.1,39.6,6.4
2015,,     Foundation and superstructure,14.3,26.8,5.6
2015,,"     Decoration, repair and maintenance for buildings",6.8,12.8,8.9
2015,,Import/export trade and wholesale,1.6,3.1,0.3
2015,,     Import and export trade,1.3,2.4,0.3
2015,,     Wholesale,0.4,0.7,0.8
2015,,"Retail, accommodation and food services (5)",8.9,16.7,1.4
2015,,     Retail,3.9,7.3,1.1
2015,,     Accommodation and food services,5.0,9.4,1.7
2015,,          Accommodation services,0.4,0.7,0.8
2015,,          Food and beverage service activities,4.6,8.6,1.8
2015,,"Transportation, storage, postal and courier services, information and communications",7.1,13.2,1.5
2015,,     Transportation and storage,6.1,11.5,2.0
2015,,          Transportation,5.1,9.5,2.2
2015,,          Warehousing and support activities for transportation,1.0,1.9,1.2
2015,,     Postal and courier activities,[*7],[*7],[*7]
2015,,     Information and communications,0.7,1.4,0.6
2015,,"Financing, insurance, real estate, professional and business services",4.1,7.6,0.5
2015,,     Financing and insurance,0.4,0.8,0.2
2015,,          Financing,[*7],[*7],[*7]
2015,,          Insurance,[*7],[*7],[*7]
2015,,     Real estate and professional and business services,3.6,6.8,0.7
2015,,          Real estate,0.6,1.2,0.4
